week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_gmv,bathroom cabinets_gmv,bathroom fixture parts_gmv,bathroom fixtures_gmv,bathroom shelves_gmv,bathroom vanities and sink consoles_gmv,medicine cabinets_gmv,towel bars and hooks_gmv,towels_gmv,vanity stools and benches_gmv,vanity tops and side splashes_gmv
2021-02-15,pre,14553.0,2150.0,48056.0,92269.0,1668.0,122355.0,6059.0,12378.0,134.0,1299.0,493.0,14456.029999999997,4498.84,20967.23,75483.99,348.0,430905.59,27074.0,13264.82,256.0,1686.1599999999999,703.0
2021-02-22,pre,12869.0,1700.0,45189.0,96747.0,1601.0,105818.0,6505.0,12165.0,114.0,1039.0,561.0,10757.31,4279.0,15431.509508196721,73447.67,557.0,458588.57999999996,22872.0,5546.429999999999,346.0,4828.95,0.0
2021-03-01,pre,13071.0,2117.0,55494.0,105991.0,1729.0,123603.0,5929.0,12743.0,176.0,894.0,513.0,11718.749999999998,7178.0,16826.83,68408.68,478.99,449303.27999999997,29247.0,8012.95,200.99,1507.0,1692.99
2021-03-08,pre,13928.0,1625.0,62249.0,112773.0,1694.0,120506.0,5636.0,14351.0,98.0,856.0,500.0,9144.739999999998,2518.49,13162.369999999999,68547.12,392.0,495190.38,24656.14,8576.779999999999,276.99,1245.1599999999999,0.0
2021-03-15,pre,14520.0,1804.0,70752.0,117587.0,1867.0,118682.0,5449.0,15514.0,99.0,919.0,598.0,11403.88,2187.0,19860.91,94299.45000000001,416.0,456732.88,14464.79,6340.48,578.0,1879.16,810.0
2021-03-22,pre,15149.0,2003.0,73399.0,122889.0,2055.0,103791.0,5904.0,16037.0,123.0,763.0,504.0,9556.809999999998,3197.0,11381.83,68344.28,490.97,470132.38000000006,28455.0,7213.76,59.0,969.0,0.0
2021-03-29,pre,13479.0,1600.0,60920.0,110700.0,1899.0,95142.0,5086.0,13258.0,265.0,796.0,498.0,9664.679999999998,3449.0,15947.91,73493.93000000002,711.99,437760.20999999996,19454.0,8602.39,165.0,3063.16,0.0
2021-04-05,pre,13034.0,1843.0,57045.0,111822.0,1692.0,101895.0,5859.0,12505.0,804.0,974.0,493.0,11385.889999999998,2707.0,19301.05,59209.9,684.48,477921.2,26303.37,7029.48,1686.0,1572.32,213.0
2021-04-12,pre,12583.0,2168.0,60940.0,114173.0,1729.0,99328.0,6508.0,12182.0,189.0,815.0,533.0,9125.88,6193.139999999999,23033.97,94955.05,819.9200000000001,449222.73,24613.0,6311.879999999999,0.0,1802.0,990.37
2021-04-19,pre,12739.0,2249.0,58134.0,111376.0,1672.0,109660.0,6728.0,12121.0,168.0,770.0,607.0,10071.339999999998,3446.79,32305.060000000005,84249.03,713.0,461716.3900000001,15314.0,6745.98,430.0,1026.0,62.0
2021-04-26,pre,12121.0,1936.0,59374.0,114163.0,1782.0,97937.0,6406.0,11557.0,295.0,751.0,552.0,12697.859999999997,9863.0,19399.079999999998,72915.9,1137.97,464134.43,21955.0,7671.919999999998,466.0,1316.65,0.0
2021-05-03,pre,12413.0,2031.0,59471.0,118391.0,1821.0,91485.0,7123.0,12702.0,297.0,930.0,522.0,11470.199999999999,4148.99,18827.440000000006,76070.25000000001,363.0,423291.9,39606.0,16311.64,401.0,2142.4,0.0
2021-05-10,pre,12391.0,2041.0,60700.0,115413.0,1779.0,86486.0,6526.0,12617.0,212.0,927.0,400.0,14631.699999999999,3309.99,20766.390000000003,76078.84,643.0,416993.89,27751.6,8153.929999999999,354.0,532.0,448.0
2021-05-17,pre,13164.0,2043.0,63438.0,115629.0,1638.0,88465.0,5743.0,12674.0,204.0,851.0,467.0,9726.809999999998,4713.85,21101.840000000004,72542.65,253.66,434989.75,19383.850000000002,12893.199999999999,694.0,669.0,1870.0
2021-05-24,pre,13269.0,2034.0,55173.0,105351.0,1705.0,99834.0,6537.0,12818.0,316.0,919.0,454.0,10045.919999999998,10199.48,19063.369999999995,83322.38000000002,418.0,506119.57000000007,17845.0,7774.949999999999,348.0,1164.0,321.99
2021-05-31,pre,12509.0,2209.0,53853.0,99340.0,1561.0,93396.0,6561.0,12377.0,470.0,729.0,563.0,16615.539999999997,5186.24,22419.02,75981.90000000001,758.99,554879.93,26992.32,8215.96,646.99,1415.8400000000001,0.0
2021-06-07,pre,11974.0,2084.0,46998.0,91123.0,1742.0,87520.0,6300.0,11275.0,499.0,755.0,575.0,16427.67,3473.0,19511.859999999997,76854.33,759.99,496248.80999999994,23046.29,8612.779999999999,296.99,1413.35,0.0
2021-06-14,pre,12259.0,2025.0,50186.0,93366.0,1726.0,91691.0,5737.0,12737.0,443.0,835.0,703.0,14229.67,15277.0,20392.2,75847.98,335.51,517520.01,24311.79,8382.779999999999,883.0,503.0,755.99
2021-06-21,pre,13101.0,2340.0,50750.0,95339.0,1583.0,107246.0,6265.0,13370.0,231.0,816.0,670.0,12283.909999999998,6547.09,13085.51,95152.09,386.0,530790.94,25669.670000000002,3818.7799999999997,188.0,3138.0,1005.25
2021-06-28,pre,11841.0,2425.0,45535.0,87821.0,1640.0,103859.0,6130.0,11276.0,157.0,925.0,658.0,10264.039999999999,3997.0,11662.929999999998,86450.84999999998,418.0,547759.24,25952.75,11001.89,60.0,1585.0,0.0
2021-07-05,pre,12276.0,2640.0,48373.0,87927.0,1600.0,103727.0,7747.0,12484.0,296.0,968.0,611.0,12323.74,4667.209999999999,22132.790000000008,61736.399999999994,300.0,547841.86,28431.42,7317.23,0.0,1023.0,261.0
2021-07-12,pre,11975.0,2370.0,51326.0,90431.0,1767.0,105127.0,7746.0,12810.0,248.0,1024.0,484.0,10425.809999999998,3545.74,22415.559999999998,90524.05,585.3199999999999,523241.37,34246.53999999999,9275.93,102.0,2115.0,605.99
2021-07-19,pre,12199.0,2370.0,47065.0,90384.0,1552.0,102522.0,8020.0,13049.0,397.0,975.0,483.0,9902.299999999997,4281.0,15952.81,84779.28,558.0,457478.29,36541.0,7668.969999999999,391.99,1233.03,852.0
2021-07-26,pre,11900.0,2490.0,45812.0,85347.0,1507.0,100961.0,7607.0,11924.0,211.0,979.0,609.0,12172.019999999999,13467.0,10664.44,76442.13,287.0,520723.12,36934.0,7765.99,303.49,2561.0,817.97
2021-08-02,pre,11267.0,2039.0,37537.0,74379.0,1445.0,95150.0,8350.0,9990.0,199.0,1038.0,554.0,18544.980000000003,8917.439999999999,25589.050000000003,82408.55,517.98,514858.9,43480.58,6545.52,656.0,3023.0,644.0
