week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_cm,bathroom cabinets_cm,bathroom fixture parts_cm,bathroom fixtures_cm,bathroom shelves_cm,bathroom vanities and sink consoles_cm,medicine cabinets_cm,towel bars and hooks_cm,towels_cm,vanity stools and benches_cm,vanity tops and side splashes_cm
2020-08-17,pre,7979.0,1871.0,7660.0,28707.0,534.0,84509.0,4685.0,2355.0,107.0,960.0,694.0,1797.5864135739,448.2945156218877,1105.795021797582,8019.141785016126,41.55008007325335,44573.35309123355,3353.5168329813114,895.5282250228436,2.122572470042768,804.4891623266528,-21.349974
2020-08-24,pre,7672.0,2028.0,7004.0,30172.0,653.0,96789.0,4456.0,2652.0,190.0,974.0,697.0,2314.4582122330885,42.51034308298364,925.0551500267271,5284.286142465502,168.20701427159466,44217.01346056814,3025.484581888562,614.6980154558814,18.087416124928307,298.1452781642814,-22.289645669905248
2020-08-31,pre,7319.0,1621.0,6660.0,32148.0,526.0,96119.0,4795.0,2455.0,389.0,940.0,665.0,1862.5549328597797,306.45930619808325,1338.8434772072158,8223.141786846234,155.20145526141906,44672.88419681766,1857.9897097323762,1299.2103154151632,37.191038486946205,363.988185638019,-8.696579471752711
2020-09-07,pre,11227.0,1927.0,7691.0,31241.0,633.0,92088.0,4620.0,2711.0,370.0,1012.0,623.0,2278.063638958588,907.1926045263222,2016.0547618154615,7854.220533298715,118.5481783537592,44012.79319791781,4055.9061589732687,1464.001883907546,9.3178273597813,308.9206330478923,-10.941375482034173
2020-09-14,pre,10687.0,1840.0,13129.0,40851.0,783.0,89433.0,4625.0,3853.0,331.0,1243.0,1261.0,1353.241337446145,988.6993295157313,1144.094027304992,5795.742470784743,106.97867863788285,42724.34490479906,3987.0537837458646,1127.8587835725107,-8.686542286777135,157.97614078308376,74.24846096840979
2020-09-21,pre,14511.0,2098.0,29011.0,80666.0,1195.0,124014.0,5159.0,6223.0,751.0,1178.0,923.0,1700.372111540472,512.8156002674882,17.266454007102354,6115.476792294283,117.32387171971978,37703.14250428302,1412.4590777723395,1271.6208562936943,19.43824887725404,322.5427893321143,714.2022463338733
2020-09-28,pre,12304.0,1799.0,28555.0,74234.0,1268.0,113463.0,4839.0,6035.0,689.0,1295.0,1165.0,2371.9162778513014,326.5112407072745,658.154046967897,6832.437706290242,51.31163932358344,36965.97515799403,3141.3732183261372,1195.6528061764898,84.96605664002561,207.80842011792117,14.795844262279147
2020-10-05,pre,10210.0,1810.0,27076.0,71903.0,1234.0,90114.0,4447.0,6004.0,592.0,1184.0,1224.0,1390.9485142394576,1572.097435329812,2094.2790174598613,10019.150347831655,165.82572547506024,51097.32685871477,2980.3927768607773,1256.6573550259916,110.54605598845548,751.3185806212213,-13.901018008118466
2020-10-12,pre,11850.0,2058.0,31096.0,75044.0,1241.0,87837.0,4774.0,6719.0,752.0,1326.0,934.0,1626.509902698345,4.841257290590704,1264.47062638346,7958.652782981665,-71.06673804670397,42685.64898177824,2248.6451237167835,1690.2975012864124,51.913731880280096,495.3986453669455,-290.9463400498601
2020-10-19,pre,11238.0,1811.0,29726.0,70392.0,1197.0,95061.0,4880.0,6656.0,498.0,1249.0,484.0,2009.6659572100841,506.7334160419999,1014.3485153500085,7711.336762075525,15.086171068063141,41553.22151006429,2148.853110606561,1122.3051403938089,83.0277859518749,446.33930662294296,1009.2486815506745
2020-10-26,pre,11707.0,1798.0,29968.0,74961.0,1301.0,89619.0,5526.0,7386.0,530.0,1047.0,463.0,2235.98299255963,212.51433647132203,1700.7969649713966,8201.0916308177,152.67516602930155,42177.95689062817,1423.901898211595,696.9650753439597,31.600506181511697,359.6166806463543,118.08953989958525
2020-11-02,pre,11033.0,1668.0,25652.0,67928.0,1207.0,86916.0,5021.0,5843.0,287.0,953.0,415.0,1584.389935142411,138.28173045741974,1055.7535746109006,6058.7294072626555,51.19638596497942,29688.45107322112,2621.074220333437,770.3577191354842,32.112108762011694,5.902540169032985,-8.218623000000001
2020-11-09,pre,9212.0,2002.0,24093.0,71864.0,1377.0,80144.0,5369.0,6146.0,426.0,1107.0,427.0,1922.2917665804493,928.4227025438105,1842.8055685166003,7626.7108212753665,90.19407465972296,39207.61478903663,2119.721892315084,571.4055088517822,91.61592090854789,153.11222175457993,-88.87153531716505
2020-11-16,pre,9556.0,1815.0,23697.0,73030.0,1677.0,83868.0,4847.0,7509.0,615.0,1397.0,453.0,1871.9574880299717,1364.4541987461912,-625.3802681024249,4499.04154551369,226.4999023632818,39362.61432566713,4337.429695928041,834.5554603877524,56.82576880238399,1543.9654933221336,1.5184109539192345
2020-11-23,pre,9004.0,1599.0,19535.0,71816.0,1622.0,80766.0,4560.0,7342.0,551.0,1160.0,382.0,1741.0829777572287,663.0897082453937,200.0254502674496,5988.958895067509,27.419706738233128,37743.590176207465,1876.179655893097,1042.4049447887726,26.291916260531213,949.2790030901441,48.3245461877165
2020-11-30,pre,11028.0,1681.0,23844.0,73627.0,1389.0,83838.0,5534.0,7019.0,331.0,1259.0,519.0,2426.2876524327366,724.4508475472927,317.88144895273666,7264.999242464259,45.69194413101033,33884.53169075825,2609.461883259412,842.6588814147765,227.20881193157857,1584.7942145875404,175.02637166393112
2020-12-07,pre,11030.0,1787.0,24099.0,72660.0,1514.0,77206.0,5583.0,7081.0,433.0,1017.0,334.0,1565.0785917333433,1261.947024888803,-10.302926588101048,6137.587635491968,157.33299754951997,26755.789470169067,2508.2316778206623,1417.0404180340772,247.95782377877973,470.2801553874919,115.52733277186209
2020-12-14,pre,8960.0,1600.0,22461.0,70023.0,1454.0,69341.0,4768.0,6876.0,758.0,871.0,448.0,1465.401768936963,824.1792179342917,954.4581584684674,6639.21776675108,93.13693232683852,17933.24356971066,2858.7140150061987,679.1182018315851,682.5319011342727,150.55772616711204,-7.949999999999999
