week,period,C1_pv,C2_pv,T1_pv,T2_pv,C1_gmv,C2_gmv,T1_gmv,T2_gmv
2020-05-11,pre,370964.0,381126.0,546339.0,425442.0,451028.5699999989,422937.02999999904,458950.8899999991,403463.29097222205
2020-05-18,pre,303225.0,282904.0,340433.0,320084.0,524252.70000000007,386936.76999999984,439920.16999999975,420810.35999999987
2020-05-25,pre,251183.0,232406.0,269085.0,270937.0,489717.1499999993,383927.91999999946,434802.4200000003,428648.81999999983
2020-06-01,pre,196137.0,203397.0,223507.0,218561.0,358217.40999999957,338477.9700000001,347355.48000000033,327916.50999999983
2020-06-08,pre,204972.0,218478.0,237145.0,238317.0,365513.17,342866.5099999999,335952.95999999985,372896.2999999998
2020-06-15,pre,241460.0,221941.0,271624.0,241307.0,361112.6799999996,321055.9200000001,367443.60999999987,338341.7074999999
2020-06-22,pre,241277.0,230722.0,286779.0,262614.0,364791.5899999997,367336.6099999998,383746.9399999996,384754.1199999996
2020-06-29,pre,241278.0,227195.0,282240.0,270122.0,418337.3809090904,332106.72999999946,378962.2154545452,406320.31999999954
2020-07-06,pre,241927.0,231099.0,262796.0,271106.0,405167.5001896727,392413.97000000026,409597.87151028716,408489.45747981506
2020-07-13,pre,240393.0,245808.0,266326.0,275555.0,385618.6399999999,367243.35999999987,399904.31000000006,398940.16999999963
2020-07-20,pre,221740.0,241735.0,245006.0,255788.0,375553.2960853709,353415.49,407407.5439146292,419448.1899999997
2020-07-27,pre,226924.0,228886.0,306474.0,251531.0,378462.75000000006,356805.93999999994,416870.18000000005,355371.4999999999
2020-08-03,pre,257259.0,225948.0,307811.0,252468.0,409660.2099999999,349903.5299999999,409330.63999999984,391985.25999999995
2020-08-10,pre,263589.0,240167.0,276144.0,275855.0,423414.1999999998,407151.3700000001,433213.22999999975,446129.4733005808
2020-08-17,pre,244555.0,246683.0,281320.0,285847.0,426165.03999999986,395372.92000000016,419624.55999999976,412570.50999999954
2020-08-24,pre,262634.0,266963.0,326895.0,403301.0,464473.7159453305,403744.3499999999,498066.32999999967,446558.92999999976
2020-08-31,pre,258565.0,249382.0,302954.0,349020.0,450335.11999999994,380243.6300000002,440803.72341126116,467640.5099999997
2020-09-07,pre,299772.0,276090.0,328170.0,429632.0,452116.3270453167,367866.53,433958.86249999976,513719.2696453898
2020-09-14,pre,315502.0,338679.0,405344.0,601111.0,354685.93999999977,338970.17,405389.36,439633.6000000001
2020-09-21,pre,336218.0,359222.0,421683.0,486400.0,416931.5399999998,395539.76999999955,413804.63999999955,433584.00000000006
2020-09-28,pre,316404.0,333249.0,369060.0,484706.0,409273.5199999999,350001.9999999999,430102.28000000014,434544.93999999977
2020-10-05,pre,335423.0,329354.0,376229.0,553424.0,405210.8699999994,369495.88999999966,415075.3299999996,416292.1999999996
2020-10-12,pre,347351.0,320950.0,368633.0,467142.0,415749.25999999925,361846.3699999997,414902.63999999943,411074.8199999996
2020-10-19,pre,321087.0,289311.0,406830.0,329022.0,395721.14999999956,341776.93999999965,450153.1299999995,431587.9699999995
2020-10-26,pre,322274.0,257079.0,327789.0,294568.0,435039.21999999974,345563.5499999999,397832.0849999998,420886.5499999994
2020-11-02,pre,288273.0,239674.0,260028.0,272038.0,413026.64999999973,354669.85,385240.61999999953,447925.1699999991
2020-11-09,pre,313116.0,274289.0,318585.0,305664.0,435409.4899999997,400734.7599999996,456456.1099999995,460486.56999999954
2020-11-16,pre,296044.0,279018.0,322095.0,306016.0,504037.9999999996,436684.91999999946,465816.63999999926,554447.3999999994
2020-11-23,pre,299265.0,279497.0,325493.0,309849.0,553662.5899999992,436170.3999999994,530318.4799999993,551388.7399999993
2020-11-30,pre,290212.0,282462.0,296480.0,288563.0,551185.3274999995,457638.1999999994,531132.512499999,506083.1299999994
2020-12-07,pre,273004.0,253020.0,262797.0,258442.0,456775.94999999943,387774.04999999946,460359.0199999995,462128.0145291781
2020-12-14,pre,255008.0,237897.0,247147.0,251329.0,394814.5999999998,325598.24999999965,383340.3499999994,406123.6199999995
