week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_cm,bathroom cabinets_cm,bathroom fixture parts_cm,bathroom fixtures_cm,bathroom shelves_cm,bathroom vanities and sink consoles_cm,medicine cabinets_cm,towel bars and hooks_cm,towels_cm,vanity stools and benches_cm,vanity tops and side splashes_cm
2020-03-23,pre,15068.0,1415.0,15520.0,40340.0,1079.0,52733.0,3590.0,6001.0,3553.0,1345.0,585.0,1638.441050272385,-149.99228834446444,356.93321024613226,5125.77510120907,217.2924621617908,13901.774934334198,738.1802938986204,323.34339530114556,318.50698564592335,226.69537225483575,-23.86
2020-03-30,pre,15157.0,1490.0,19872.0,42458.0,1326.0,50191.0,2944.0,6442.0,3893.0,1142.0,777.0,1782.008031081797,293.78222776424656,906.1259365879057,4657.453715296376,181.00677347542063,29380.056827807195,1693.7707343898894,651.6366894284417,31.495906506425477,371.3751124776882,-177.73498998851733
2020-04-06,pre,16674.0,1949.0,23546.0,52021.0,1218.0,58756.0,3279.0,6725.0,4941.0,1184.0,757.0,2785.027218413872,-40.36280123850179,279.0007738400373,4669.441768412131,297.8370270295072,25507.706948596162,2427.200212848414,975.4226146411366,87.41866483829611,134.80208017337242,-5.51059175911746
2020-04-13,pre,17576.0,2052.0,25641.0,58504.0,1265.0,64997.0,3521.0,7113.0,4345.0,1358.0,1198.0,2129.319477550827,905.8686103136174,899.9688561158712,4856.906718840157,282.5402767472149,32062.212145456513,3220.2424954263533,-67.38649304175712,179.74099847376874,97.24610841575522,-254.44482895906077
2020-04-20,pre,17781.0,1778.0,27253.0,60510.0,1441.0,70927.0,3365.0,7153.0,215.0,1362.0,969.0,2476.52539675834,485.42909556064177,1712.012387425078,7402.358323769986,135.46215971815744,36475.84487457407,1416.6329170449267,1180.0584422727034,-10.710245069570568,892.5703698579586,-104.42084674231313
2020-04-27,pre,17768.0,1772.0,27150.0,60800.0,1054.0,71704.0,3686.0,7128.0,1308.0,1373.0,989.0,3294.89014863723,938.1101796408575,592.3157783483439,5672.195694153279,43.94503245924167,41811.04282490032,3348.2342585413535,884.3639864556992,34.49209309648413,920.5427130998497,63.55014195982007
2020-05-04,pre,18282.0,1649.0,29775.0,61019.0,1310.0,62746.0,3601.0,7540.0,1763.0,1214.0,836.0,2589.2245877630535,-289.021211728034,913.1774095379486,9828.865330934572,360.7829768426574,27521.667279149053,3148.375419628511,1387.237542258546,23.801127211387445,546.0362359897928,-25.9
2020-05-11,pre,18357.0,1742.0,29125.0,58045.0,1170.0,71412.0,3825.0,7098.0,3807.0,1060.0,827.0,2586.430998420649,522.9265002451893,436.61299304986227,10208.779884434252,104.94669879625357,30214.88959089196,2266.9277700688335,1100.8429956980983,4.574431186069037,188.21889523881094,147.01045298045594
2020-05-18,pre,10428.0,1676.0,10360.0,34358.0,966.0,82972.0,4123.0,3218.0,1528.0,1013.0,942.0,2871.5800876628746,-71.78300628537802,1501.0977779248924,9957.269307177612,226.01023746283317,31828.036172474218,4954.826980826651,570.6516666900411,269.5177981523852,156.49295091695535,10.215340567084052
2020-05-25,pre,7212.0,1485.0,6836.0,24703.0,535.0,72285.0,3380.0,2299.0,473.0,831.0,888.0,3109.2902748313095,225.62364132924736,181.9914268428373,7304.2757283931605,103.74542186814429,42683.96024016195,2810.13127099549,878.13325025443,223.79910333548122,242.19463051740175,0.47310724643171653
