week,period,C1_pv,C2_pv,T1_pv,T2_pv,C1_gmv,C2_gmv,T1_gmv,T2_gmv
2021-02-22,pre,345089.0,273376.0,366431.0,318815.0,425262.70950819616,364759.8899999996,425585.8799999996,450773.98999999964
2021-03-01,pre,319978.0,274018.0,329273.0,305510.0,417864.79999999976,343566.3799999999,393686.93999999965,414328.8899999997
2021-03-08,pre,318672.0,258353.0,325003.0,295347.0,461074.5799999996,347720.13999999984,366182.2699999996,408720.7999999997
2021-03-15,pre,343996.0,275512.0,336495.0,313480.0,419223.23999999976,412536.80018348596,422694.7199999997,460500.22999999946
2021-03-22,pre,348443.0,308460.0,334905.0,319344.0,428785.9899999997,372905.5799999997,388917.85999999964,420148.6599999997
2021-03-29,pre,320400.0,288453.0,332441.0,289252.0,433689.5999999999,384800.7399999997,389398.88999999984,440491.6599999995
2021-04-05,pre,324575.0,284012.0,345592.0,294931.0,457644.22999999963,392709.9089320385,406248.07999999967,449592.0699999994
2021-04-12,pre,346966.0,283884.0,320669.0,306488.0,471015.2199999997,436187.1099999997,408385.52999999956,509128.1920960696
2021-04-19,pre,364710.0,287356.0,325457.0,316280.0,515531.33822966483,431325.3299999996,401470.0517703347,494812.46999999956
2021-04-26,pre,348229.0,294285.0,329741.0,310834.0,511263.1799999996,420990.0479551447,476932.7399999996,518604.2599999997
2021-05-03,pre,361888.0,304650.0,339725.0,321821.0,544895.0149999994,457644.14999999973,465464.71999999945,503258.50999999954
2021-05-10,pre,353611.0,283364.0,394545.0,305255.0,550911.3599999995,439854.0799999997,503797.3934426223,476132.9799999996
2021-05-17,pre,373879.0,274604.0,356811.0,292406.0,560798.3210716231,446188.2999999997,470202.6641771456,462073.40999999974
2021-05-24,pre,336721.0,282500.0,341275.0,304996.0,540934.9199999997,461847.1299999996,498428.48252427124,508958.6399999994
2021-05-31,pre,332899.0,273025.0,323580.0,296928.0,559920.1067100974,466926.78999999946,515866.43328990176,529542.7499999995
2021-06-07,pre,309102.0,251961.0,288548.0,271701.0,531839.4699999994,398986.9499999996,459390.0499999994,444832.3299999996
2021-06-14,pre,310054.0,252625.0,309800.0,284416.0,564532.4199999996,435466.8099999995,510252.5499999993,509112.74999999953
2021-06-21,pre,331164.0,268861.0,339142.0,306398.0,506675.22999999946,454118.63999999955,474220.3628110591,483785.16999999946
2021-06-28,pre,308526.0,247125.0,303072.0,281710.0,509005.0342857139,440204.5299999996,487768.75571428525,534906.6816455914
2021-07-05,pre,324942.0,271132.0,318549.0,312261.0,514489.30431577255,412262.6399999997,499383.31999999954,591825.1756842264
2021-07-12,pre,327794.0,256611.0,314705.0,306474.0,547060.5999999995,401354.0199999997,500476.1299999995,502241.7199999996
2021-07-19,pre,319431.0,249965.0,309881.0,296131.0,516343.48999999947,456751.92999999947,468116.60999999946,472452.3799999995
2021-07-26,pre,321146.0,254069.0,300598.0,289526.0,530109.7099999994,453755.4299999996,499342.01999999915,502326.17999999947
2021-08-02,pre,307800.0,254717.0,306289.0,282905.0,542676.3899999994,425118.9499999996,497449.9599999996,511408.686666666
2021-08-09,pre,330719.0,263371.0,333894.0,289085.0,588831.8999999996,500285.5599999996,501125.5899999993,525166.1099999994
2021-08-16,pre,332362.0,271079.0,330205.0,298632.0,649662.8199999993,517977.78530973376,504077.5499999994,540874.239999999
2021-08-23,pre,360387.0,297755.0,346241.0,327485.0,659066.8899999994,549281.7499999993,618816.6799999991,603675.3699999992
2021-08-30,pre,373357.0,299748.0,361354.0,329901.0,638776.2699999992,562252.7299999996,597699.6999999991,584424.2199999992
2021-09-06,pre,345568.0,291279.0,339569.0,318844.0,641303.5099999994,569844.1599999997,600989.4215384609,555794.3499999993
2021-09-13,pre,346628.0,285409.0,352453.0,320932.0,628199.3199999995,509568.93999999936,578084.3699999991,563831.1699999996
2021-09-20,pre,352329.0,290274.0,364959.0,317031.0,664220.7499999993,559367.9582568802,572118.4317431182,605349.3899999995
2021-09-27,pre,345636.0,291106.0,350506.0,326128.0,738088.9266666662,592733.8699999994,652829.979999999,625483.0599999995
2021-10-04,pre,384755.0,312074.0,413271.0,353174.0,731887.2099999996,655473.4999999993,705009.5399999989,613018.8836681218
2021-10-11,pre,369484.0,311868.0,401233.0,333939.0,659168.3099999994,608301.0299999996,667931.9299999992,649754.8599999993
2021-10-18,pre,206412.0,183529.0,206376.0,187659.0,441893.11999999976,399861.7899999997,346705.0393442621,432714.4199999995
2021-10-22,post,150495.0,127939.0,153072.0,142108.0,301134.0999999999,226335.10999999984,229629.3899999999,255057.96999999994
2021-10-25,post,339169.0,277103.0,338845.0,337843.0,706063.109999999,633151.2099999994,598445.4299999994,644925.4799999995
2021-11-01,post,323386.0,275642.0,310461.0,316920.0,737153.8147308013,583550.3606573448,610933.4881198903,707992.8395260881
2021-11-08,post,323146.0,309769.0,333597.0,349027.0,751528.4353155092,625399.2459115499,608669.1627706737,716901.5713520772
2021-11-15,post,302396.0,270042.0,321643.0,304561.0,741876.8731755692,602627.5739059065,698536.0286346297,727419.8581221751
2021-11-22,post,289940.0,240605.0,298560.0,281088.0,700499.9161964044,569303.6729591318,692219.1067963684,685241.99550927
2021-11-29,post,119154.0,106946.0,130102.0,119546.0,246505.28496314478,258019.4688009397,235938.4580316988,241335.47088164865
