week,period,C1_pv,C2_pv,T1_pv,T2_pv,C1_cm,C2_cm,T1_cm,T2_cm
2020-04-27,pre,368808.0,409036.0,544957.0,431911.0,51032.16489872497,64402.015496630294,61608.26573458892,64660.24444881959
2020-05-04,pre,357225.0,390597.0,574291.0,401356.0,61751.945828637596,72292.10334608132,69834.93759310902,59259.67346011336
2020-05-11,pre,372355.0,380285.0,548950.0,425301.0,69210.87685081115,65341.16085481005,73300.25513954226,62249.103592632404
2020-05-18,pre,305147.0,282291.0,340239.0,320209.0,72508.27024548754,62898.36255890516,60781.796605063995,61359.420717801586
2020-05-25,pre,252483.0,231626.0,269343.0,271170.0,65280.840311002794,64711.47134144282,57414.889425041765,60205.7941429887
2020-06-01,pre,197368.0,202526.0,223683.0,218845.0,47680.92359078013,63225.34886268707,57162.281231676025,45793.51299665134
2020-06-08,pre,205313.0,217339.0,236887.0,239067.0,51487.28175603849,58923.43240204613,46367.44877892786,58976.44207012063
2020-06-15,pre,243015.0,220746.0,270899.0,240959.0,60193.71122642785,51959.33692773274,50743.83233098852,55073.26863745862
2020-06-22,pre,241763.0,229788.0,287230.0,262692.0,60190.539049650935,60637.43473635341,58433.88683083481,62949.42472825955
2020-06-29,pre,241922.0,225719.0,283821.0,269857.0,66759.40066319228,53701.14893281118,57204.254735327835,53870.13692670778
2020-07-06,pre,242276.0,229239.0,262718.0,270696.0,52906.21216567682,66085.71883588831,61457.45499520958,56029.3153655873
2020-07-13,pre,240860.0,243811.0,266342.0,274241.0,58941.95835325613,70188.56179867711,72605.46660383302,54222.054275343085
2020-07-20,pre,222035.0,239401.0,244373.0,255018.0,54758.120165586646,63027.72854535906,60959.83646782855,61346.160527089225
2020-07-27,pre,226883.0,226712.0,306039.0,251318.0,51993.98882516293,66257.63916802774,65247.665866781215,52155.97983556835
2020-08-03,pre,257583.0,223496.0,307441.0,251930.0,73715.01668519636,62669.676363728206,65208.48865832132,69094.9874882905
2020-08-10,pre,263967.0,237692.0,275086.0,276460.0,62210.85559012806,74049.99780491188,53931.26897379711,76956.4835616391
2020-08-17,pre,244571.0,244506.0,280791.0,285636.0,60662.64487384482,71394.7000469928,59913.27653999632,61693.98678511472
2020-08-24,pre,262724.0,264047.0,326267.0,399883.0,62812.28282469368,65085.05858404136,62408.435757748775,61112.97565140217
2020-08-31,pre,258373.0,245893.0,302833.0,347053.0,64023.385912780745,53531.98920864772,63248.114602090376,62396.86308697157
2020-09-07,pre,299762.0,271944.0,327987.0,426097.0,71213.5563292468,61106.493267893326,51299.513419017654,75547.81307332528
2020-09-14,pre,315374.0,335097.0,406487.0,593711.0,51561.9490352574,58053.982441324726,58500.30473083804,57819.582512828936
2020-09-21,pre,337024.0,355771.0,420638.0,482317.0,65525.34574390489,66506.91884219287,61972.610702614984,62028.736610585525
2020-09-28,pre,317124.0,329693.0,368384.0,480791.0,54006.33723273591,56292.102997930866,52114.84427623816,51767.64664664365
2020-10-05,pre,335864.0,326442.0,375792.0,548127.0,66082.47856464256,65288.61828776886,67649.74848674945,56926.85526730936
2020-10-12,pre,347339.0,317786.0,367300.0,464434.0,53400.25667480613,67199.2930716337,55454.01818575283,60840.57439490617
2020-10-19,pre,321235.0,286778.0,406374.0,328068.0,59951.32809334228,63413.637388649855,77157.83674653433,71347.28236757206
2020-10-26,pre,322136.0,254470.0,327288.0,294270.0,55789.03993613694,60182.68695339032,41607.516160805564,62168.40141188212
2020-11-02,pre,288243.0,236930.0,258984.0,270838.0,52858.996157710775,57342.50558299711,56378.14463147115,74029.52318583944
2020-11-09,pre,313977.0,271782.0,317891.0,304540.0,56810.62606885978,61681.71610310602,57235.39185345119,56388.183150846016
2020-11-16,pre,297724.0,275445.0,321575.0,305881.0,60335.64528625851,60501.552679141234,49720.41114007061,67727.63768913141
2020-11-23,pre,301465.0,277055.0,325388.0,309598.0,70214.43578448078,57083.69351164472,60153.23101124871,65503.99812141694
2020-11-30,pre,291239.0,279662.0,295502.0,288621.0,65925.68513494964,63555.05673007353,64643.19491944125,51930.615747687916
2020-12-07,pre,273370.0,250584.0,262125.0,258996.0,55784.78176988665,58254.72047297332,58801.08439345709,52278.90782093025
2020-12-14,pre,254948.0,236197.0,247575.0,251272.0,47101.46189840478,59255.92406228012,55381.61154196014,52804.031368925964
2020-12-21,pre,260339.0,226743.0,256765.0,251880.0,32747.039048573177,38925.98857233751,35579.08161336491,50038.41441138856
2020-12-28,pre,369663.0,308797.0,365717.0,354544.0,56664.085478004665,53723.97190448813,49005.903903925595,50248.98163526733
2021-01-04,pre,328152.0,279648.0,329839.0,324439.0,51475.005163742506,58599.98792220586,42792.15446931902,38680.686840788854
2021-01-11,pre,351541.0,284018.0,332726.0,323364.0,54662.465724201975,61188.16291885894,56720.309216522015,47517.287289176566
2021-01-18,pre,376068.0,305779.0,374751.0,348182.0,61113.08940885058,66236.27603936296,70058.48319931606,51096.801579177336
2021-01-25,pre,367026.0,339282.0,408694.0,361587.0,58887.460631108406,68356.63417098079,54209.295864226784,62057.56028874531
2021-02-01,pre,349985.0,285586.0,371164.0,339796.0,56866.82750616477,59503.190657452935,48001.49440062637,52427.35274223444
2021-02-08,pre,336228.0,263394.0,366780.0,315702.0,61958.13348513223,52440.450490981595,55203.976053978804,58789.88117217681
2021-02-15,pre,364404.0,278417.0,399396.0,348445.0,49090.94946258653,59239.76784493288,54638.44942812784,76934.10032901193
2021-02-22,pre,345089.0,273376.0,366431.0,318815.0,45835.51284315556,59690.982411468176,51331.49214707121,56398.02695166323
2021-03-01,pre,319978.0,274018.0,329273.0,305510.0,44723.84293394862,52888.2811560712,48608.98984716075,57069.85355601422
2021-03-08,pre,318672.0,258353.0,325003.0,295347.0,64065.10990455102,55123.796103504115,48982.207516679,61300.76282742554
2021-03-15,pre,343996.0,275512.0,336495.0,313480.0,55437.00527169707,77238.89534004674,63388.16386092689,68645.92077837545
2021-03-22,pre,348443.0,308460.0,334905.0,319344.0,50636.8792787988,58198.015631656766,49361.16896352705,59511.24821840588
2021-03-29,pre,320400.0,288453.0,332441.0,289252.0,60766.03406189355,63761.935137323846,57782.73513753386,56797.90585817516
2021-04-05,pre,324575.0,284012.0,345592.0,294931.0,44876.59082913836,53625.32990595805,40283.9006401712,58024.76190010826
2021-04-12,pre,346966.0,283884.0,320669.0,306488.0,51934.820094634735,65870.43105168852,40784.721048669315,45021.52393730448
2021-04-19,pre,364710.0,287356.0,325457.0,316280.0,46935.454885034305,62176.77603420532,43111.068571076285,55964.63461878489
2021-04-26,pre,348229.0,294285.0,329741.0,310834.0,51463.234449823656,52199.138882580075,36586.46038423707,47042.87303231775
2021-05-03,pre,361888.0,304650.0,339725.0,321821.0,51418.74460600208,57698.029233654284,51821.0922117286,44640.122781777674
2021-05-10,pre,353611.0,283364.0,394545.0,305255.0,59747.90891988255,56127.315360484296,57177.962607692316,37373.361362350806
2021-05-17,pre,373879.0,274604.0,356811.0,292406.0,45105.7193532024,57616.06921805302,51766.63393728071,36703.2942308459
2021-05-24,pre,336721.0,282500.0,341275.0,304996.0,36526.53276298092,47423.04232062175,36416.15449548334,38987.479888589085
2021-05-31,pre,332899.0,273025.0,323580.0,296928.0,40798.76072378795,53193.769794999935,40518.245150994844,44034.17049129088
2021-06-07,pre,309102.0,251961.0,288548.0,271701.0,28718.340893742577,52108.743404502035,43334.32300449779,33387.44930439334
2021-06-14,pre,310054.0,252625.0,309800.0,284416.0,27946.81312115977,42909.170463152914,32354.756689833946,49607.02352601336
2021-06-21,pre,331164.0,268861.0,339142.0,306398.0,12166.033650664654,40234.28361274852,24086.886130640843,21587.678315583875
2021-06-28,pre,308526.0,247125.0,303072.0,281710.0,19106.27259150798,45205.88632339703,22750.220755394977,42898.776081341035
2021-07-05,pre,324942.0,271132.0,318549.0,312261.0,32339.269053147018,38156.98952725772,25985.7228115802,42854.83903571399
2021-07-12,pre,327794.0,256611.0,314705.0,306474.0,31081.07845638404,44286.61146729421,31440.179465398684,40408.28713580971
2021-07-19,pre,319431.0,249965.0,309881.0,296131.0,39436.22319731995,59144.04674112407,36117.05720518775,46883.884945337435
2021-07-26,pre,321146.0,254069.0,300598.0,289526.0,36027.937339950506,44689.39516711793,24009.311002141334,48929.99647196248
2021-08-02,pre,307800.0,254717.0,306289.0,282905.0,40746.93874881762,41983.3776230274,48316.29492229744,48904.21851537433
2021-08-09,pre,330719.0,263371.0,333894.0,289085.0,39674.11969608402,48242.02166434953,35750.43252636911,49531.25221771185
2021-08-16,pre,332362.0,271079.0,330205.0,298632.0,46332.019253258164,54909.66085722041,41477.347316408195,47280.80786861415
2021-08-23,pre,360387.0,297755.0,346241.0,327485.0,36905.22505240359,57811.01812242835,49748.40424775017,44961.61527828166
2021-08-30,pre,373357.0,299748.0,361354.0,329901.0,33569.93800619989,58476.36547583701,38424.983629758746,47479.61840384002
2021-09-06,pre,345568.0,291279.0,339569.0,318844.0,42245.320310549185,66251.70340509957,54904.67469726798,55973.79656418256
2021-09-13,pre,346628.0,285409.0,352453.0,320932.0,54808.43039905105,54055.852618242134,44430.69755789129,59585.84141552817
2021-09-20,pre,352329.0,290274.0,364959.0,317031.0,45721.03928986891,53289.26467814636,40198.38145428472,52092.08237680538
2021-09-27,pre,345636.0,291106.0,350506.0,326128.0,53392.06574991119,54178.63963445212,47498.22386070411,51352.69288531832
2021-10-04,pre,384755.0,312074.0,413271.0,353174.0,48196.8123257591,64320.935960288916,38220.57060606612,45649.9516925713
2021-10-11,pre,369484.0,311868.0,401233.0,333939.0,31593.910385608084,48190.404992343945,40501.126154243255,50208.89346452763
2021-10-18,pre,206412.0,183529.0,206376.0,187659.0,28525.47354694705,36817.55342347638,20945.749772514835,33699.81725322091
2021-10-22,post,150495.0,127939.0,153072.0,142108.0,19139.306411888825,21006.487180260687,15283.972366197617,18531.830795527647
2021-10-25,post,339169.0,277103.0,338845.0,337843.0,39666.33900218103,61973.27953770217,47658.240811891665,54071.08695352599
2021-11-01,post,323386.0,275642.0,310461.0,316920.0,58412.10810132819,61898.14829124597,47890.57333827252,57067.754891226796
2021-11-08,post,323146.0,309769.0,333597.0,349027.0,36229.96669992689,46882.879283430484,26038.919092531338,-3632.9803279926955
2021-11-15,post,302396.0,270042.0,321643.0,304561.0,46876.969587837775,47979.714833357735,43267.161337972495,47923.18827181981
2021-11-22,post,289940.0,240605.0,298560.0,281088.0,49168.6618658841,48421.44187676708,43684.95426729657,58291.77547317808
2021-11-29,post,119154.0,106946.0,130102.0,119546.0,8304.816848630686,22402.92034616633,12606.911616619074,15557.256929516037
