week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_gmv,bathroom cabinets_gmv,bathroom fixture parts_gmv,bathroom fixtures_gmv,bathroom shelves_gmv,bathroom vanities and sink consoles_gmv,medicine cabinets_gmv,towel bars and hooks_gmv,towels_gmv,vanity stools and benches_gmv,vanity tops and side splashes_gmv
2020-07-20,pre,7922.0,1372.0,5636.0,25764.0,549.0,73068.0,4279.0,2723.0,248.0,786.0,734.0,10805.960000000001,3067.6,11111.12,54523.670000000006,139.22,276390.52999999997,10586.27,5778.84,207.56,1339.31,1024.2
2020-07-27,pre,7482.0,1473.0,5637.0,26275.0,457.0,72378.0,4124.0,2560.0,264.0,1033.0,573.0,9059.659999999998,1230.77,12425.93,47957.24,508.94,265370.56,8198.0,6773.5,197.01,2647.4,289.4
2020-08-03,pre,7599.0,1664.0,6110.0,25809.0,513.0,72865.0,4385.0,2440.0,187.0,1234.0,690.0,9683.949999999999,2646.76,9820.960000000001,53407.03999999999,783.56,331607.85,12091.5,6297.459999999999,74.34,930.0,397.0
2020-08-10,pre,7516.0,1972.0,8016.0,27588.0,639.0,79922.0,4521.0,2690.0,156.0,1004.0,700.0,11323.273300580613,3096.59,9845.240000000002,77199.76000000001,1192.88,308184.35000000003,16374.27,5667.070000000001,221.23000000000002,1523.0,374.0
2020-08-17,pre,7950.0,1897.0,7706.0,29185.0,529.0,83580.0,4710.0,2386.0,107.0,988.0,797.0,8551.01,4162.6900000000005,9552.06,64410.8,234.0,361231.51999999996,18558.08,4223.71,58.0,4144.2,0.0
2020-08-24,pre,7651.0,2032.0,7048.0,30665.0,644.0,95502.0,4462.0,2682.0,193.0,999.0,798.0,11161.829999999998,3761.0,11028.199999999999,57021.06,842.6600000000001,357175.79,16655.050000000003,5274.95,230.04000000000002,1695.16,103.99
2020-08-31,pre,7289.0,1627.0,6701.0,32443.0,521.0,95179.0,4793.0,2502.0,393.0,979.0,772.0,11618.749999999995,1637.25,11416.59,74196.81,565.0,330536.69999999995,16090.33,6226.4800000000005,209.99,1728.4099999999999,53.97
2020-09-07,pre,11240.0,1914.0,7740.0,31817.0,636.0,91110.0,4629.0,2733.0,365.0,1034.0,718.0,10977.72,6612.110000000001,12385.470000000001,63564.229999999996,613.16,330561.13,23594.04,7084.08,237.81,2815.15,91.96
2020-09-14,pre,10753.0,1866.0,13209.0,41379.0,776.0,88333.0,4613.0,3910.0,324.0,1267.0,1317.0,8564.58,3231.0,12465.66,55615.69999999999,534.5699999999999,344665.89,20128.79,6562.93,35.0,902.19,474.5
2020-09-21,pre,14558.0,2086.0,29076.0,81109.0,1195.0,122636.0,5108.0,6243.0,751.0,1219.0,1041.0,9647.150000000001,5183.580000000001,14871.759999999995,48908.280000000006,478.88,327675.94,11526.54,6787.139999999999,181.18,1123.39,2679.09
2020-09-28,pre,12276.0,1805.0,29088.0,74567.0,1269.0,112494.0,4781.0,6056.0,756.0,1311.0,1280.0,10629.340000000002,2508.06,6669.16,50044.67999999999,364.93,401421.51,26211.859999999997,6574.62,209.0,2173.84,178.77
2020-10-05,pre,10209.0,1798.0,27170.0,72372.0,1228.0,89176.0,4425.0,6036.0,593.0,1231.0,1252.0,7421.459999999999,6152.0,12228.149999999998,64509.72,719.62,371930.54000000004,16356.03,5774.51,422.99,4481.01,986.0
2020-10-12,pre,11831.0,2071.0,31294.0,75513.0,1219.0,86741.0,4766.0,6730.0,770.0,1365.0,1077.0,10925.969999999998,1804.0,11749.309999999998,62570.77,1354.0,357818.13,11546.99,7577.48,189.97000000000003,2185.0,1414.0
2020-10-19,pre,11247.0,1812.0,29751.0,70812.0,1198.0,95478.0,4847.0,6640.0,499.0,1278.0,595.0,8487.149999999998,4064.0,10962.24,52263.98,154.99,371384.85,20722.2,5339.860000000001,267.0,2605.52,2450.0
2020-10-26,pre,11705.0,1774.0,29585.0,75195.0,1291.0,88510.0,5527.0,7403.0,534.0,1075.0,597.0,9444.619999999997,2458.0,13504.96,62804.52,690.99,354122.48000000004,21060.5,4206.94,238.99,1527.0,726.0
2020-11-02,pre,10977.0,1664.0,25634.0,68196.0,1204.0,84690.0,4996.0,5825.0,288.0,955.0,465.0,9027.21,2051.0,13149.639999999998,57737.520000000004,184.0,345196.27999999997,16882.0,5615.259999999999,141.0,312.25,0.0
2020-11-09,pre,9159.0,1980.0,24158.0,72126.0,1382.0,77894.0,5317.0,6178.0,429.0,1156.0,524.0,8988.219999999998,3555.0,14351.779999999999,51762.31999999999,1553.99,377389.18000000005,18365.0,6202.58,284.99,2033.0,650.6
2020-11-16,pre,9502.0,1771.0,23717.0,73225.0,1683.0,81074.0,4825.0,7547.0,613.0,1463.0,514.0,11061.109999999999,5249.0,14724.539999999999,55252.079999999994,1090.98,325468.69000000006,20394.0,4698.63,517.98,4563.0,333.99
2020-11-23,pre,9014.0,1578.0,20171.0,71959.0,1627.0,79354.0,4542.0,7393.0,553.0,1221.0,411.0,8203.829999999998,2823.0,10702.939999999999,61752.33,141.99,352561.41000000003,11348.0,6213.449999999999,1024.99,4382.0,688.0
2020-11-30,pre,11105.0,1691.0,23991.0,73730.0,1386.0,82492.0,5527.0,7101.0,328.0,1298.0,542.0,12660.279999999999,4043.0,14304.249999999998,71960.36,262.99,404613.41000000003,15001.0,7252.119999999999,801.98,5377.45,940.0
2020-12-07,pre,11069.0,1791.0,24127.0,72658.0,1507.0,75708.0,5595.0,7093.0,439.0,1045.0,412.0,10413.549999999997,7013.0,6626.179999999999,54654.84,656.0,350085.35000000003,17063.0,7671.93,1119.97,2817.0,458.0
2020-12-14,pre,8941.0,1605.0,22451.0,70015.0,1452.0,67633.0,4773.0,6885.0,758.0,894.0,469.0,7552.929999999999,5511.99,12192.01,56003.380000000005,894.0,283607.94,22251.0,7420.96,2228.98,846.55,0.0
2020-12-21,pre,8552.0,1893.0,20450.0,67641.0,1309.0,71760.0,6109.0,6968.0,220.0,821.0,427.0,6531.879999999999,2688.0,7902.129999999999,45779.72,211.0,242648.71,10660.0,5779.08,544.0,2204.8,43.99
2020-12-28,pre,11913.0,2746.0,25222.0,74840.0,1840.0,116485.0,8342.0,8222.0,251.0,1503.0,578.0,10723.359999999999,4519.0,12710.879999999997,64364.020000000004,776.99,403768.52,31271.0,14509.739999999998,498.0,2288.6800000000003,470.0
2021-01-04,pre,9944.0,2675.0,23784.0,70310.0,1722.0,102357.0,7075.0,7637.0,581.0,1273.0,519.0,9581.14,6487.0,16122.31,68054.76,762.0,354440.27,29302.0,6276.5,582.0,4130.9,0.0
2021-01-11,pre,11449.0,2285.0,23595.0,72747.0,1630.0,104575.0,7588.0,7620.0,380.0,1376.0,619.0,9581.069999999998,4806.0,15398.23,83260.99,565.0,437522.61,35104.0,9528.97,317.99,1378.0,566.0
2021-01-18,pre,11867.0,2586.0,25847.0,74084.0,1650.0,110378.0,8170.0,8043.0,194.0,1599.0,645.0,11649.979999999996,5650.0,11192.199999999999,74061.5,647.0,388537.61,33932.0,7651.63,284.99,3529.04,39.0
2021-01-25,pre,16213.0,2626.0,42790.0,97754.0,1865.0,148950.0,8042.0,11206.0,465.0,1591.0,667.0,14833.139999999996,2471.0,26800.64298507463,75670.43,996.0,449782.74,22429.0,9415.529999999999,226.0,4271.43,51.99
2021-02-01,pre,15907.0,2043.0,52571.0,105120.0,1844.0,137876.0,6790.0,13926.0,297.0,1483.0,496.0,12333.749999999996,5573.0,18309.710000000006,79573.97,650.99,414390.56,28804.0,8039.969999999999,152.0,1561.0,950.0
2021-02-08,pre,13813.0,1730.0,47190.0,88530.0,1511.0,105735.0,5644.0,11746.0,79.0,1446.0,452.0,12021.789999999995,3665.66,15780.949999999999,77344.12,431.0,383898.22,28982.92,9651.51,108.0,2966.69,0.0
2021-02-15,pre,14544.0,2125.0,46706.0,92225.0,1619.0,119553.0,6060.0,12375.0,136.0,1335.0,463.0,14026.029999999997,4977.84,21033.73,77410.99,1139.26,421201.4199999999,26295.0,12427.82,256.0,2183.16,703.0
2021-02-22,pre,12997.0,1703.0,44502.0,96489.0,1538.0,102384.0,6535.0,12270.0,119.0,1079.0,514.0,10863.71,4279.0,15431.50950819672,71759.45000000001,557.0,445912.41,22872.0,5546.429999999999,346.0,4730.95,0.0
2021-03-01,pre,13150.0,2110.0,56093.0,105643.0,1687.0,120123.0,5944.0,12851.0,173.0,938.0,433.0,11718.75,7178.0,16826.829999999998,69051.91,478.99,438493.28,29396.0,8012.949999999999,200.99,1507.0,1692.99
2021-03-08,pre,14028.0,1634.0,61896.0,112228.0,1653.0,118408.0,5654.0,14369.0,101.0,900.0,451.0,9144.739999999998,2518.49,13562.369999999999,69531.35,392.0,487241.73,24447.14,8802.779999999999,276.99,1854.1599999999999,0.0
